"id","route_id","label","latitude","longitude","speed","bearing","current_status","updated_at","rn"
"y1260","28","1260","42.27649702","-71.09355684",,"180.0","IN_TRANSIT_TO","2025-08-31T00:52:58-04:00","1"
"y1216","39","1216","42.34766628","-71.07364377",,"344.0","IN_TRANSIT_TO","2025-08-31T11:02:46-04:00","1"
"y1645","24","1645","42.27131954","-71.0738411",,"80.0","IN_TRANSIT_TO","2025-08-31T11:02:56-04:00","1"
"y1974","94","1974","42.39697288","-71.122066899",,"225.0","STOPPED_AT","2025-08-31T10:52:53-04:00","1"
"y1877","8","1877","42.341276519","-71.10468106",,"30.0","IN_TRANSIT_TO","2025-08-31T11:02:56-04:00","1"
"y1875","15","1875","42.33419595","-71.09001274",,"56.0","IN_TRANSIT_TO","2025-08-31T10:57:57-04:00","1"
"y1729","15","1729","42.32446","-71.07448",,"315.0","IN_TRANSIT_TO","2025-08-31T11:02:52-04:00","1"
"dLF 958","714","LF 958","42.2650874","-70.84556713",,"22.0","IN_TRANSIT_TO","2025-08-31T11:02:55-04:00","1"
"y2016","91","2016","42.38124","-71.08647",,"90.0","STOPPED_AT","2025-08-31T08:47:49-04:00","1"
"y2057","77","2057","42.42358987","-71.176000279",,"283.0","IN_TRANSIT_TO","2025-08-31T01:27:55-04:00","1"
"y2103","77","2103","42.41987297","-71.16890789",,"304.0","STOPPED_AT","2025-08-31T01:12:57-04:00","1"
"y1947","77","1947","42.376738129","-71.119686679",,"91.0","IN_TRANSIT_TO","2025-08-31T10:12:56-04:00","1"
"G-10128","Green-C","3856","42.3459","-71.10742","3.3","45.0","STOPPED_AT","2025-08-31T10:51:13-04:00","1"
"G-10028","Green-C","3841","42.34341","-71.11665","5.9","225.0","STOPPED_AT","2025-08-31T11:02:09-04:00","1"
"G-10072","Green-E","3660-3867","42.3377","-71.25295","3.3","0.0","IN_TRANSIT_TO","2025-08-31T08:24:44-04:00","1"
